,name,year,genre,description,director,stars
0,Blockers,2018,"
Comedy, Drama            ",Three parents try to stop their daughters from losing their virginity on prom night.,Kay Cannon,"Leslie Mann ,John Cena ,Ike Barinholtz"
1,Destination Wedding,2018,"
Comedy, Drama, Romance            ","The story of two miserable and unpleasant wedding guests, Lindsay and Frank, who develop a mutual affection despite themselves.",Victor Levin,"Winona Ryder ,Keanu Reeves ,DJ Dallenbach"
2,The Favourite,2018,"
Biography, Comedy, Drama            ","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",Yorgos Lanthimos,"Olivia Colman ,Emma Stone ,Rachel Weisz"
3,Eighth Grade,2018,"
Comedy, Drama, Horror            ",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,Bo Burnham,"Elsie Fisher ,Josh Hamilton ,Emily Robinson"
4,Mortal Engines,2018,"
Action, Adventure, Fantasy            ","In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",Christian Rivers,"Hera Hilmar ,Robert Sheehan ,Hugo Weaving"
5,Instant Family,2018,"
Comedy, Drama            ",A couple find themselves in over their heads when they foster three children.,Sean Anders,"Mark Wahlberg ,Rose Byrne ,Isabela Merced"
6,Green Book,2018,"
Biography, Comedy, Drama            ",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen ,Mahershala Ali ,Linda Cardellini"
7,Aquaman,2018,"
Action, Adventure, Fantasy            ","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,"Jason Momoa ,Amber Heard ,Willem Dafoe"
8,Spider-Man: Into the Spider-Verse,2018,"
Animation, Action, Adventure            ",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti,"Peter Ramsey ,Rodney Rothman ,Shameik Moore"
9,Hereditary,2018,"
Drama, Horror, Mystery            ",A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,"Toni Collette ,Milly Shapiro ,Gabriel Byrne"
10,The Babysitter,I) (2017,"
Comedy, Horror            ","When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.",McG,"Judah Lewis ,Samara Weaving ,Robbie Amell"
11,Road Games,2015,"
Drama, Horror, Mystery            ",The sun drenched days of summer turn dark and ominous for hitchhiking duo Jack and Véronique when they become inexplicably entangled with a mysterious married couple and a local road kill collector in rural France.,Abner Pastoll,"Andrew Simpson ,Joséphine de La Baume ,Frédéric Pierrot"
12,Avengers: Endgame,2019,"
Action, Adventure, Drama            ","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"Joe Russo ,Robert Downey Jr. ,Chris Evans"
13,Happy Death Day 2 U,2019,"
Comedy, Horror, Mystery            ",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,Christopher Landon,"Jessica Rothe ,Israel Broussard ,Phi Vu"
14,Booksmart,2019,"
Comedy            ","On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",Olivia Wilde,"Kaitlyn Dever ,Beanie Feldstein ,Jessica Williams"
15,The Perfection,2018,"
Drama, Horror, Music            ","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",Richard Shepard,"Marie Maskell ,Allison Williams ,Christina Jastrzembska"
16,Kavaludaari,2019,"
Crime, Drama, Mystery            ","The accidental discovery of human bones during a road-widening project leads a local traffic cop into the mystery of a 40-year-old case. His investigation leads him across trails that will put his wit, resolve and morals to the test.",Hemanth M. Rao,"Suman Ranganath ,Achyuth Kumar ,Anant Nag"
17,99,I) (2019,"
Drama            ","Ramachandra and Janaki meet up 20 years after graduating high school, class of 1999, at a reunion party.",Preetham Gubbi,"Ganesh ,Bhavana ,Samiksha"
18,Alita: Battle Angel,2019,"
Action, Adventure, Sci-Fi            ","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",Robert Rodriguez,"Rosa Salazar ,Christoph Waltz ,Jennifer Connelly"
19,Reindeer Games,2000,"
Action, Crime, Thriller            ","After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist.",John Frankenheimer,"Ben Affleck ,Gary Sinise ,Charlize Theron"
20,Truth or Dare,I) (2018,"
Horror, Thriller            ",A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.,Jeff Wadlow,"Lucy Hale ,Tyler Posey ,Violett Beane"
21,Ghostland,2018,"
Drama, Horror, Mystery            ","A mother of two who inherits a house is confronted with murderous intruders on the first night in their new home and fights for her daughters' lives. Sixteen years later when the daughters reunite at the house, things get really strange.",Pascal Laugier,"Crystal Reed ,Mylène Farmer ,Anastasia Phillips"
22,It Chapter Two,2019,"
Drama, Fantasy, Horror            ","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Andy Muschietti,"Jessica Chastain ,James McAvoy ,Bill Hader"
23,Upgrade,2018,"
Action, Sci-Fi, Thriller            ","Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",Leigh Whannell,"Logan Marshall-Green ,Melanie Vallejo ,Steve Danielsen"
24,Ready or Not,I) (2019,"
Action, Comedy, Horror            ",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,Matt Bettinelli-Olpin,"Tyler Gillett ,Samara Weaving ,Adam Brody"
25,Pailwaan,2019,"
Action, Drama, Sport            ","Krishna, a fierce wrestler, faces challenges in his personal life as he tries to fulfill the dream of his father, an ex-wrestler.",S Krishna,"Suniel Shetty ,Aakanksha Singh ,Sudeep"
26,Charlie's Angels,2019,"
Action, Adventure, Comedy            ","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",Elizabeth Banks,"Kristen Stewart ,Naomi Scott ,Ella Balinska"
27,Gantumoote,2019,"
Drama, Romance            ","A 16-year-old girl embarks on a journey of life where she deals with understanding herself, the changing world, bullying, academic pressure and her transcending journey of first love.",Roopa Rao,"Karthik Achari ,Aryan ,Rramprasadd Banavara"
28,Gisaengchung,2019,"
Drama, Thriller            ",Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"Song Kang-ho ,Lee Sun-kyun ,Cho Yeo-jeong"
29,Dangal,2016,"
Action, Biography, Drama            ",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan ,Sakshi Tanwar ,Fatima Sana Shaikh"
30,My Days of Mercy,2017,"
Drama, Romance            ",The daughter of a man on death row falls in love with a woman on the opposing side of her family's political cause.,Tali Shalom-Ezer,"Elliot Page ,Kate Mara ,Amy Seimetz"
31,Avane Srimannarayana,2019,"
Action, Adventure, Comedy            ","In the pursuit of solving an ancient mystery of Amaravati, Narayana, a corrupt cop must battle the dangerous clan of dacoits and it's fierce leader.",Sachin Ravi,"Sachin ,Rakshit Shetty ,Shanvi Srivastava"
32,BlacKkKlansman,2018,"
Biography, Comedy, Crime            ","Ron Stallworth, an African American police officer from Colorado Springs, Colorado, successfully infiltrates the local Ku Klux Klan branch aided by a Jewish surrogate who eventually becomes its leader. Based on actual events.",Spike Lee,"John David Washington ,Adam Driver ,Laura Harrier"
33,Finding Nemo,2003,"
Animation, Adventure, Comedy            ","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,"Lee Unkrich ,Albert Brooks ,Ellen DeGeneres"
34,Once Upon a Time in... Hollywood,2019,"
Comedy, Drama            ",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,"Leonardo DiCaprio ,Brad Pitt ,Margot Robbie"
35,Dreamgirls,2006,"
Drama, Music, Musical            ","A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",Bill Condon,"Beyoncé ,Jamie Foxx ,Eddie Murphy"
36,Ford v Ferrari,2019,"
Action, Biography, Drama            ",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"Matt Damon ,Christian Bale ,Jon Bernthal"
37,Marriage Story,2019,"
Drama, Romance            ",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Noah Baumbach,"Adam Driver ,Scarlett Johansson ,Julia Greer"
38,Zombieland: Double Tap,2019,"
Action, Comedy, Horror            ","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",Ruben Fleischer,"Woody Harrelson ,Jesse Eisenberg ,Emma Stone"
39,Missing Link,2019,"
Animation, Adventure, Comedy            ","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",Chris Butler,"Hugh Jackman ,David Walliams ,Stephen Fry"
40,The Two Popes,2019,"
Biography, Comedy, Drama            ","Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",Fernando Meirelles,"Jonathan Pryce ,Anthony Hopkins ,Juan Minujín"
41,Gentleman,2020,"
Action, Drama, Mystery            ","The movie ""GENTLEMAN"" revolves around the character Bharath who is suffering from a rare disorder called Beauty of sleeping syndrome. Because of this, he tends to sleep 18 hours a day and ...                See full summary »
",Jadesh Kumar,"Prajwal Devaraj ,Nishvika Naidu ,Sanchari Vijay"
42,Knives Out,2019,"
Comedy, Crime, Drama            ","A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,"Daniel Craig ,Chris Evans ,Ana de Armas"
43,Mary Poppins Returns,2018,"
Adventure, Comedy, Family            ","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",Rob Marshall,"Emily Blunt ,Lin-Manuel Miranda ,Ben Whishaw"
44,If Beale Street Could Talk,2018,"
Drama, Romance            ",A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.,Barry Jenkins,"KiKi Layne ,Stephan James ,Regina King"
45,Wonder Woman,2017,"
Action, Adventure, Fantasy            ","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Patty Jenkins,"Gal Gadot ,Chris Pine ,Robin Wright"
46,Pokémon: Detective Pikachu,2019,"
Action, Adventure, Comedy            ","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",Rob Letterman,"Ryan Reynolds ,Justice Smith ,Kathryn Newton"
47,The House with a Clock in Its Walls,2018,"
Comedy, Family, Fantasy            ",A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,Eli Roth,"Jack Black ,Cate Blanchett ,Owen Vaccaro"
48,The Invisible Man,I) (2020,"
Drama, Horror, Mystery            ","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Leigh Whannell,"Elisabeth Moss ,Oliver Jackson-Cohen ,Harriet Dyer"
49,Lincoln,2012,"
Biography, Drama, History            ","As the Civil War rages on, U.S President Abraham Lincoln struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on his decision to emancipate the slaves.",Steven Spielberg,"Daniel Day-Lewis ,Sally Field ,David Strathairn"
50,Bombshell,I) (2019,"
Biography, Drama            ",A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,Jay Roach,"Charlize Theron ,Nicole Kidman ,Margot Robbie"
51,Jumanji: The Next Level,2019,"
Action, Adventure, Comedy            ","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Jake Kasdan,"Dwayne Johnson ,Jack Black ,Kevin Hart"
52,A Beautiful Day in the Neighborhood,2019,"
Biography, Drama            ",Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,Marielle Heller,"Matthew Rhys ,Tom Hanks ,Chris Cooper"
53,Game Night,I) (2018,"
Action, Adventure, Comedy            ",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,John Francis Daley,"Jonathan Goldstein ,Jason Bateman ,Rachel McAdams"
54,Bramhachari,2019,"
Drama            ",The film addresses sexual problems without the jokes being crass at any point.,Chandra Mohan,"H.G. Dattatreya ,Achyuth Kumar ,Sathish Neenasam"
55,Love Mocktail,2020,"
Drama, Romance            ",Adi embarks on a rollercoaster journey searching for true love. Through varied experiences he questions if he'll find his soulmate.,Darling Krishna,"Darling Krishna ,Milana Nagaraj ,Amrutha Iyengar"
56,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,"
Action, Comedy, Crime            ","After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",Cathy Yan,"Margot Robbie ,Rosie Perez ,Mary Elizabeth Winstead"
57,Mayhem,2017,"
Action, Comedy, Horror            ",A virus spreads through an office complex causing white-collar workers to act out their worst impulses.,Joe Lynch,"Steven Yeun ,Samara Weaving ,Steven Brand"
